ticker,date,sector,setup,primary_setup,raw_score,score,score_trend,score_momentum,score_position,score_relative_strength,trend_ok,momentum_ok,liquidity_state,discovery_state,discovery_reason,regime_state,close,ma20,ma50,ma200,atr14,high_20d,low_20d,avg_vol_20,volume_ratio,breakout_strength,extension_atr,ret_20d_pct,rs_20d_pct,atr_pct,entry,stop,target,rr,grade
CMI,2026-05-20,INDUSTRIALS,NONE,,3.0,3.0,4.0,-2.0,0.0,1.0,True,False,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,669.87,676.75,612.98,515.73,23.22,718.08,636.66,874085,0.54,0.0,-0.3,4.79,4.79,3.47,,,,,C
COF,2026-05-20,FINANCIAL SERVICES,NONE,,0.5,0.5,2.0,1.0,-0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,187.23,189.1,188.53,212.68,4.43,205.77,181.3,4369167,1.24,1.5,-0.42,-6.12,-6.12,2.36,,,,,C
COP,2026-05-20,ENERGY,NONE,,6.0,6.0,3.0,3.0,1.0,-1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,122.36,121.47,123.57,103.08,3.25,128.28,113.62,8116019,0.58,2.5,0.27,-0.2,-0.2,2.65,,,,,B
COST,2026-05-20,CONSUMER DEFENSIVE,NONE,,7.5,7.5,6.0,2.0,-1.5,1.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,1074.01,1023.88,1006.33,956.49,21.88,1096.5,985.12,1881771,1.04,2.5,2.29,7.01,7.01,2.04,,,,,B
CRM,2026-05-20,TECHNOLOGY,NONE,,3.0,3.0,2.0,2.0,1.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,180.1,178.55,182.69,223.08,7.46,191.15,164.33,12344789,1.01,1.5,0.21,-5.11,-5.11,4.14,,,,,C
CRWD,2026-05-20,TECHNOLOGY,NONE,,11.5,11.5,4.0,4.0,1.5,2.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,650.11,515.75,454.26,463.11,26.13,634.24,432.55,3033110,1.44,4.5,5.14,39.31,39.31,4.02,,,,,A
CSCO,2026-05-20,TECHNOLOGY,NONE,,13.0,13.0,6.0,4.0,1.0,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,114.35,98.76,88.24,77.37,4.02,119.39,85.78,25774510,0.93,3.5,3.88,27.34,27.34,3.51,,,,,A
CSX,2026-05-20,INDUSTRIALS,PULLBACK,PULLBACK,9.45,9.45,4.8,0.7,2.95,1.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,45.94,45.28,42.68,37.91,0.81,46.55,42.88,12682648,0.83,3.5,0.82,6.39,6.39,1.76,45.94,42.68,52.46,2.0,A
CTAS,2026-05-20,INDUSTRIALS,NONE,,3.0,3.0,2.0,2.0,0.0,-1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,171.36,170.43,175.23,190.9,4.22,178.25,161.16,1983132,0.79,2.5,0.22,-1.89,-1.89,2.46,,,,,C
CVS,2026-05-20,HEALTHCARE,NONE,,7.5,7.5,6.0,0.0,-0.5,2.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,93.28,87.74,79.98,77.56,2.79,98.43,76.1,9069887,0.67,1.0,1.99,22.05,22.05,2.99,,,,,B
CVX,2026-05-20,ENERGY,NONE,,6.0,6.0,3.0,2.0,1.0,0.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,191.33,188.77,193.43,168.87,4.64,198.87,179.53,10059004,1.44,2.5,0.55,2.69,2.69,2.42,,,,,B
D,2026-05-20,UTILITIES,BREAKOUT,BREAKOUT,24.45,24.45,6.0,11.7,4.75,2.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,67.73,63.44,62.64,61.23,1.67,68.97,60.44,7660023,1.63,6.5,2.56,11.12,11.12,2.47,69.11,61.71,88.34,2.6,A
DASH,2026-05-20,CONSUMER CYCLICAL,NONE,,3.0,3.0,2.0,2.0,1.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,160.73,165.41,163.8,211.63,8.66,184.17,148.0,5233858,1.45,2.5,-0.54,-11.82,-11.82,5.39,,,,,C
DD,2026-05-20,BASIC MATERIALS,NONE,,2.5,2.5,4.0,-2.0,0.5,0.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,47.25,47.94,46.64,40.64,1.71,51.64,44.5,3939188,0.72,0.0,-0.4,2.76,2.76,3.62,,,,,C
DDOG,2026-05-20,TECHNOLOGY,NONE,,13.0,13.0,6.0,3.0,2.0,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,212.24,170.39,141.25,141.06,12.37,215.68,124.32,6858395,0.77,3.5,3.38,60.62,60.62,5.83,,,,,A
DE,2026-05-20,INDUSTRIALS,NONE,,-2.0,-2.0,2.0,-2.0,-1.0,-1.0,False,False,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,560.46,574.63,578.67,520.46,13.8,594.97,554.05,987319,1.12,0.0,-1.03,-3.37,-3.37,2.46,,,,,C
